# Image width, image height, glyph width, glyph height
234 24 9 12
# Glyph   Index    Width
  65      26       7
  66      27       6
  67      28       6
  68      29       6
  69      30       5
  70      31       5
  71      32       6
  72      33       6
  73      34       1
  74      35       6
  75      36       6
  76      37       5
  77      38       7
  78      39       6
  79      40       6
  80      41       6
  81      42       6
  82      43       6
  83      44       6
  84      45       7
  85      46       6
  86      47       7
  87      48       9
  88      49       5
  89      50       5
  90      51       5

  97      0        5
  98      1        5
  99      2        5
  100     3        5
  101     4        5
  102     5        4
  103     6        5
  104     7        5
  105     8        2
  106     9        3
  107     10        5
  108     11        2
  109     12        9
  110     13        5
  111     14        5
  112     15        5
  113     16        5
  114     17        5
  115     18        5
  116     19        4
  117     20        5
  118     21        5
  119     22        9
  120     23        5
  121     24        5
  122     25        5
